brand,style,colour,description,image_url,name,price,stock,size
adidas,mens-athletic-shoes,Black/Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib709394.jpg?preset=results,Men's Cloudfoam Adapt 2 Slip On Sneaker,94.99,13,13
Under Armour,mens-athletic-shoes,Black/White/Silver,Water-resistant with a vibrant canvas print along the full length of the tops,https://www.famousfootwear.ca//productimages/shoes_ib709527.jpg?preset=results,Men's Charged Escape Wide 3 Running Shoe,104.99,5,10
Converse,mens-athletic-shoes,Black/Grey,Modern,https://www.famousfootwear.ca//productimages/shoes_ib709650.jpg?preset=results,Chuck Taylor All Star High Street High Top Sneaker,74.99,6,6
Skechers Work,mens-athletic-shoes,Black,Soft textile lining with lightweight construction for maximum comfort,https://www.famousfootwear.ca//productimages/shoes_ib710340.jpg?preset=results,Men's Groton Wide Slip-Resistant Work Sneaker,64.99,11,8
Skechers Work,mens-athletic-shoes,Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib710341.jpg?preset=results,Men's Nampa Groton Wide Slip On Slip Resistant Work Shoe,69.99,11,12
Nike,mens-athletic-shoes,Grey/Black,High-quality and light-weight,https://www.famousfootwear.ca//productimages/shoes_ib705970.jpg?preset=results,Air Ring Leader Low Basketball Shoe,87.99,7,8
Vans,mens-athletic-shoes,White,High quality EVA sole for traction and exceptional durability,https://www.famousfootwear.ca//productimages/shoes_ib705597.jpg?preset=results,Men's Ward Low Top Sneaker,69.99,15,6
Nike,mens-athletic-shoes,Black/White,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib708484.jpg?preset=results,Men's Air Max Motion 2 Sneaker,94.99,1,7
New Balance,mens-athletic-shoes,Grey/Orange,Full canvas double sided print with rounded toe construction,https://www.famousfootwear.ca//productimages/shoes_ib707671.jpg?preset=results,Men's 481 Wide Trail Running Shoe,74.99,12,6
Converse,mens-athletic-shoes,Black/White,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib705775.jpg?preset=results,Men's Chuck Taylor All Star High Street Leather Sneaker,79.99,9,9
Nike,mens-athletic-shoes,Black,Elastic stretch V for easy on-and-off use,https://www.famousfootwear.ca//productimages/shoes_ib708155.jpg?preset=results,Men's Air Max Motion 2 Sneaker,104.99,6,12
